district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_asian,pop_adj_black,pop_adj_hispanic,pop_adj_native,pop_adj_pacific,pop_adj_total,pop_adj_white,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
AK-01,AK,1,318608,116454,163387,324817,135645,171369,357569,153778,189951,337780,139695,184410,61460,35454,49824,160287,18668,733391,421758,554003,340580,33441,23665,43407,105737,11184,101021,96682,108834,110529,88341,89719,84044,39766,15885,43357,93744,6419,140126,39645,31689,9589,121302,30275,6532,21713,29177,8396,6849,7122,7516,7812,9122,7900,16194,25350,37590,32596,10232
AL-01,AL,1,293420,64080,220085,262594,69874,190357,326343,79020,243221,333911,73358,256976,14424,126801,33476,23200,1247,717754,519198,557336,416674,21367,90582,10005,17360,838,84102,93199,81508,87027,88264,94845,94289,65291,29371,49349,77139,4391,161843,32844,59972,6845,109816,24667,14206,17079,18262,12698,11947,12986,11503,11874,11681,11266,21064,25112,36444,16972,15716
AL-02,AL,2,303364,163388,131758,267954,155103,110867,313181,174134,135348,290636,155184,131725,16843,364985,26535,14686,1172,717754,298335,558661,247928,17215,272023,12529,10700,748,88166,96294,103611,90882,83887,87734,86450,53541,26269,40028,72588,5108,154456,35346,63133,7988,100187,21840,18915,13693,13928,16782,15529,13911,13353,12744,13508,12137,21069,25994,29639,12223,23341
AL-03,AL,3,289677,79538,200498,258909,82568,173978,322821,93356,225352,316410,82862,230048,15755,156204,27470,16548,909,717754,502129,564595,405145,17599,116843,11992,12748,591,79875,94807,101333,86422,88319,93493,89069,58629,26079,45654,65873,6094,156663,31660,67539,6246,108680,24229,15942,16198,14946,13679,14502,11819,13466,12004,12291,10098,20488,26374,34251,12355,20973
AL-04,AL,4,297488,51956,236405,263025,57740,203153,326492,60120,262489,323861,52911,267661,6614,56723,57537,23226,836,717754,575711,555217,459881,33850,40112,4593,17274,538,84541,95867,90860,84556,87472,95627,89050,61908,30082,48893,61350,5182,164584,26078,76993,5467,104424,23836,15922,15146,15927,13709,14893,14424,11763,12149,12137,11061,21333,25676,35641,12156,16435
AL-05,AL,5,298086,92178,189897,278897,105895,168699,346248,122869,216421,353600,122382,224861,19813,138438,47408,27316,1583,717754,486765,560406,393794,29677,102735,14045,20338,1004,83343,92050,93888,93342,89735,99746,88391,52459,27672,40990,106941,7569,125428,53994,54806,6859,102350,26168,11160,20446,25883,11062,11906,11237,12754,10523,10706,10151,21517,25481,36677,27587,13180
AL-06,AL,6,319686,80052,225254,292780,94267,194563,355048,107240,241972,350771,104195,240772,17229,133963,39453,15924,841,717755,510804,552411,405521,25174,96958,12084,11892,572,87725,96600,84843,95813,95559,93441,84060,51618,25406,39538,114583,8027,125085,48139,41398,14078,98206,28759,8004,20302,25043,8237,8538,9547,9593,8923,9660,9032,18611,26354,36808,30932,11762
AL-07,AL,7,322103,198415,114732,291362,193443,95753,333149,212885,116367,295901,181520,110573,12099,387622,32168,10130,891,717754,278409,568540,235601,21974,295119,9661,7802,599,83308,98730,113147,89813,82767,84854,90457,49446,27160,41569,73778,6609,153666,32978,57339,9091,103086,18039,19920,14524,14789,16292,16206,14164,14525,13302,10909,12062,19853,26192,31211,13152,23561
AR-01,AR,1,274701,82710,178526,253353,73762,172730,286792,80516,197832,279751,73540,200849,7852,139921,29297,21046,1895,752509,551532,579039,438676,18103,97812,5576,16066,1079,92301,100473,92512,93618,89331,95994,94690,62419,32745,43000,58742,2853,199212,24745,69370,4323,113696,22574,20663,12847,12585,17197,18176,15616,15804,14338,13133,12701,24204,27568,33697,11223,18313
AR-02,AR,2,306119,120843,166843,294794,119695,166735,333041,140254,183964,322108,131691,182666,18424,166319,46673,23460,1008,752710,498838,582706,402756,30008,118487,13270,17665,677,90072,98739,104569,100257,90628,92218,89030,57071,28793,42773,100870,7632,149196,44479,42210,12273,108511,27794,12996,17644,20426,13737,14218,15589,14314,13462,12980,13495,22801,29296,37714,20621,18763
