district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_total,pop_white,pop_hispanic,pop_black,pop_asian,pop_native,pop_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
AK-01,AK,1,318608,116454,163387,324817,135645,171369,357569,153778,189951,337780,139695,184410,733391,421758,49824,35454,61460,160287,18668,554003,340580,33441,23665,43407,105737,11184,101021,96682,108834,110529,88341,89719,84044,39766,15885,43357,93744,6419,140126,39645,31689,9589,121302,30275,6532,21713,29177,8396,6849,7122,7516,7812,9122,7900,16194,25350,37590,32596,10232
AL-01,AL,1,299425,99051,190486,268234,101796,163862,326408,112801,209353,329353,104163,221108,718133,460698,27385,191612,14630,23200,1029,557780,372120,18157,138741,10365,17219,668,84703,94443,88843,88739,86745,92606,92699,62080,27952,45090,81590,4878,162584,34973,55018,7782,104648,24126,15518,16432,17742,13141,12622,12879,12022,11937,12534,11977,21567,24763,34228,17268,17318
AL-02,AL,2,317002,172575,136454,281742,164935,114906,325681,183164,139011,297989,159574,134942,717632,302445,26689,365144,15711,10645,941,564287,252526,18108,275449,11878,7974,648,85902,104035,108657,89759,83747,87452,85911,51980,26623,38165,73651,6690,151475,37152,61028,7038,98720,21647,18205,14831,14322,16341,14952,13473,13655,11634,12112,11318,19555,25247,31209,12321,22951
AL-03,AL,3,281597,85862,186880,251578,87014,162476,311243,101098,206146,305943,90298,212148,717714,451499,33336,200253,18372,16320,1405,560275,365907,21367,147644,13757,12214,913,82878,96810,103986,88456,85318,90687,84736,57566,26316,48298,69121,6022,149641,33264,63359,6182,104802,22853,16057,15231,15832,15480,14358,12939,12160,11830,12273,10741,19710,25626,32852,13585,22025
AL-04,AL,4,297876,40219,249116,261546,44738,214783,327400,45822,277895,329546,42150,284342,718281,598002,57024,32797,5685,26094,836,554721,475773,33354,22232,3785,19504,499,82891,95241,84106,84253,89128,98154,91265,61908,28980,51753,59126,3715,165785,25190,81390,4909,103650,23574,15802,15269,15805,13433,14724,14293,12426,12013,11650,11427,20705,25485,34680,12592,14615
AL-05,AL,5,297267,98920,182084,279811,113657,161841,347055,131648,208362,351365,128697,216227,717701,477734,46267,151214,20110,24602,1583,562016,388038,29138,112590,14356,18279,1027,82566,91843,97927,93398,87051,98594,87105,52923,28474,39662,105979,7884,127385,53558,52503,7089,102689,25724,11295,19995,25400,11327,12250,11376,12435,11004,11200,10182,21762,25988,37791,26415,14554
AL-06,AL,6,305225,70970,224031,272124,76772,192714,336860,86029,246558,329768,78639,247584,717875,524916,36780,129050,9393,17788,797,556916,418225,22870,95234,6555,13475,554,84433,93431,88165,86600,96112,94926,90641,57895,25318,43624,74213,4220,161879,30326,66101,6007,109649,26782,13570,17523,17749,11453,12198,11047,13035,10632,10925,9483,20410,26819,36107,14979,15461
AL-07,AL,7,325432,162010,149578,300486,169978,126788,348635,189062,153845,321126,168891,146265,716943,356057,36566,294666,18876,12381,888,561171,291955,23862,222482,14213,9449,581,87687,91744,97506,96650,87902,87321,89409,48540,28376,39429,108572,9571,122976,46576,41781,17567,102591,22832,13622,18107,21928,11284,12417,12081,11224,12469,10198,10679,20226,27255,33804,28217,18044
AR-01,AR,1,284966,63210,206181,266757,59563,199528,304811,64921,231695,300054,61266,232831,752933,629714,33822,49122,9574,25845,2074,581187,498219,20581,31704,6536,19801,1228,88499,102096,89502,92489,88862,96702,96909,66003,34270,43582,62001,3420,199881,25656,67825,4827,112405,23363,18359,12765,12867,16817,18038,17030,16123,14874,13684,13481,24419,29333,35761,10984,16820
AR-02,AR,2,290881,151731,125604,271167,139419,125318,298734,159683,130562,274003,142263,125765,752835,365354,45644,313128,16074,16684,1031,582650,302240,29729,228156,11723,12648,654,95316,97479,100089,97924,90397,93345,92518,54927,28408,39166,85376,6315,165098,37614,56194,10297,109045,23080,17973,14502,16930,15975,16654,15300,14969,13751,13751,12291,22116,26913,33940,18244,22281
