district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-22_total,comp16-20_dem,comp16-22_dem,comp16-20_rep,comp16-22_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_total,pop_adj_white,pop_adj_hispanic,pop_adj_black,pop_adj_asian,pop_adj_native,pop_adj_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
AK-01,AK,1,318608,116454,163387,,324817,,135645,,171369,357569,153778,189951,337780,139695,184410,733391,421758,49824,35454,61460,160287,18668,554003,340580,33441,23665,43407,105737,11184,101021,96682,108834,110529,88341,89719,84044,39766,15885,43357,93744,6419,140126,39645,31689,9589,121302,30275,6532,21713,29177,8396,6849,7122,7516,7812,9122,7900,16194,25350,37590,32596,10232
AL-01,AL,1,307802,107491,190520,,275581,,109226,,163827,333218,120680,208314,334150,110925,219154,717039,450849,26936,203158,14485,21067,990,557449,364570,17909,147915,10250,15716,638,84175,94419,88521,87761,86494,92937,92902,62331,28099,44631,81860,4831,161219,35589,54463,7589,105272,24238,15623,16939,17894,13198,12999,12602,11994,11698,12417,11673,21305,25182,34189,17344,17413
AL-02,AL,2,305967,121623,176603,,269857,,117065,,150950,322126,132267,186278,306138,117310,185572,718738,384327,29710,274476,16722,16320,1222,559304,313167,18693,204387,12170,12019,828,86819,95561,93542,88591,86371,91966,87797,58572,28373,43742,70226,4526,158478,34543,67356,7124,101642,22633,17489,14612,15113,15779,14381,13841,12558,12131,12912,11179,20460,25311,32183,12680,20362
AL-03,AL,3,285904,87727,188917,,255341,,89205,,163917,318138,101810,212395,311973,91023,217489,716869,476081,26434,183722,15704,15588,1133,563393,384223,17074,138165,11882,11980,731,79947,96557,102341,87278,86424,92541,88025,57488,25542,46440,65613,6288,152478,31678,66774,6120,108816,24462,15831,15479,15032,13783,14340,11946,13255,11538,12218,10468,20488,26402,34163,12369,21954
AL-04,AL,4,295311,87647,198164,,263952,,91910,,169689,322362,102085,216130,312499,91499,217573,718574,480097,58930,149873,8390,23868,1025,555434,388041,35157,108804,6388,17779,641,86458,94226,89127,90156,89412,92460,88547,56693,27089,49645,65968,4249,155935,28067,72412,7066,106662,22063,16261,14224,15376,14019,13990,14490,12611,13464,11289,11192,22156,26324,34581,13566,17826
AL-05,AL,5,297698,95074,186086,,279347,,109804,,165099,346132,127926,210989,351952,126691,218684,718305,484117,48012,145183,20328,22686,1604,561712,392928,30085,107482,14443,17034,1019,82481,92326,97286,92983,88557,98334,87299,52245,28466,40341,109899,8004,121925,54703,50889,7320,102883,26144,11007,20494,27185,11014,12128,11041,12242,10715,10768,9962,21726,25360,37282,27412,13961
AL-06,AL,6,322070,103060,204076,,296309,,115284,,176980,354935,129135,219850,344724,119136,219281,717590,478612,38970,165938,20064,14397,801,555620,381480,25158,123713,14413,10722,545,88499,93608,92111,95190,94785,90779,84341,50454,25976,37124,116634,8870,121832,49753,44339,16333,94739,26420,10016,20340,24121,9633,10162,9916,10923,9588,9828,9669,17543,26294,34773,31371,13670
AL-07,AL,7,309072,126985,174263,,275134,,126396,,146908,326371,135721,187214,303654,115828,184863,717164,417268,35055,242386,7084,17104,704,564254,340135,22780,183906,5363,12864,488,82681,100850,106262,85896,83960,90723,92855,55109,28494,44098,62052,6212,169858,26706,64947,5022,106735,21578,17842,15300,14057,15033,15521,14252,13374,12385,11460,11664,20257,26310,33500,10635,19782
AR-01,AR,1,274701,82710,178526,,253353,,73762,,172730,286792,80516,197832,279751,73540,200849,752509,551532,29297,139921,7852,21046,1895,579039,438676,18103,97812,5576,16066,1079,92301,100473,92512,93618,89331,95994,94690,62419,32745,43000,58742,2853,199212,24745,69370,4323,113696,22574,20663,12847,12585,17197,18176,15616,15804,14338,13133,12701,24204,27568,33697,11223,18313
AR-02,AR,2,306119,120843,166843,,294794,,119695,,166735,333041,140254,183964,322108,131691,182666,752710,498838,46673,166319,18424,23460,1008,582706,402756,30008,118487,13270,17665,677,90072,98739,104569,100257,90628,92218,89030,57071,28793,42773,100870,7632,149196,44479,42210,12273,108511,27794,12996,17644,20426,13737,14218,15589,14314,13462,12980,13495,22801,29296,37714,20621,18763
