district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_total,pop_white,pop_hispanic,pop_black,pop_asian,pop_native,pop_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
AK-01,AK,1,318608,116454,163387,324817,135645,171369,357569,153778,189951,337780,139695,184410,733391,421758,49824,35454,61460,160287,18668,554003,340580,33441,23665,43407,105737,11184,101021,96682,108834,110529,88341,89719,84044,39766,15885,43357,93744,6419,140126,39645,31689,9589,121302,30275,6532,21713,29177,8396,6849,7122,7516,7812,9122,7900,16194,25350,37590,32596,10232
DE-01,DE,1,441052,235154,185062,440514,258570,172762,504010,296268,200603,510775,288933,214262,989948,579851,104290,244944,50969,21392,1547,783543,489226,67906,178357,37878,15627,1057,109968,123481,122674,124265,114864,131642,137636,87953,41152,58540,139213,13931,208129,75033,61344,13180,130994,40249,12173,30916,39006,10775,12267,13820,13903,14294,13700,13210,27203,36164,54374,40197,16749
HI-01,HI,1,208431,131565,63534,208445,138600,63745,279671,178661,96350,248838,153038,91497,726395,107302,56401,26105,495204,16141,153851,585659,94213,38697,18240,398963,10962,104993,78728,77303,98321,103704,89562,89927,85412,57975,42253,59273,126695,8712,124231,47969,41195,14510,98879,27877,5948,22228,30841,4933,6450,5543,6174,6590,7073,7395,13602,20472,32257,42362,9964
HI-02,HI,2,220506,135326,65313,222658,145579,68446,294798,187469,100514,267863,160006,102164,728876,207063,82522,20678,328939,25387,240251,570246,181411,54410,13744,247592,17167,159458,90807,89344,92061,96280,85223,86202,95813,62219,29455,53787,100548,7505,148596,38015,33398,11029,108187,25999,6655,20143,25916,5491,6809,6419,6938,6479,6880,6763,14101,19967,30536,34519,10582
ND-01,ND,1,344360,93758,216794,337384,98083,225714,362024,115042,235751,368155,112327,246505,779094,636160,33412,34499,18675,55777,2086,596093,503153,21603,21444,13192,35031,1361,103358,104054,120021,108904,83712,86928,86967,50116,32814,72298,113131,5710,132137,33064,32907,7189,109820,34919,11619,25356,26887,11178,11278,12309,11189,11145,11669,11621,24520,30577,44389,26742,14640
SD-01,SD,1,370111,117466,227731,370598,135916,230319,422609,150471,261043,426390,145799,270651,886667,705583,38741,26307,18489,98842,1642,669255,556081,23855,14956,12406,60618,1033,119122,121809,117036,116196,97795,104265,112141,64699,37279,72002,123313,6821,176062,38604,43062,10123,119000,37591,12855,24253,26048,12452,13265,14251,14508,14089,13529,15433,28468,34196,52841,22713,14690
VT-01,VT,1,315067,178573,95369,327892,190376,121430,367428,242820,112704,369422,235791,119395,643077,573201,15504,14422,16182,16900,725,524482,474146,11113,9038,11665,12780,518,60286,77696,84981,77123,73843,88570,94856,57875,28586,39344,111614,9939,126697,57539,26587,12438,74875,28004,10742,20972,23226,9021,9529,10123,10552,9383,10143,9806,18378,26478,35676,23548,10277
WV-01,WV,1,355774,92958,247279,362920,119390,235604,392576,112947,273523,364662,98066,259831,896067,805369,11331,48212,8927,18242,743,715682,649695,7866,34003,6488,14334,489,95759,107121,102630,100301,112149,117804,129790,85915,42490,48533,79492,6103,256809,38152,85290,9124,116052,27906,24564,17508,15906,20755,21455,18977,18013,16443,16938,14987,28523,33674,41435,14638,26090
WV-02,WV,2,357275,95834,242092,370080,119332,238742,402076,123037,271859,397728,116243,273725,897649,793465,23496,42314,13354,19447,983,717250,643345,15617,28957,9757,14713,673,93184,111683,118098,107578,110943,119302,121495,78065,38660,52954,92266,7982,245524,46334,61711,9326,115877,33087,18800,22785,23286,15969,17768,16506,17138,14811,14723,14516,28248,34818,45625,20035,20113
WY-01,WY,1,255849,55973,174419,234289,61851,162714,276765,73491,193559,269048,69527,192633,576851,469664,59046,9661,9473,27480,1714,441337,370041,38153,5928,6520,18433,1009,69778,77958,74499,77825,68551,69278,75194,44545,20301,46082,71313,5138,110277,31053,23719,6077,98143,26379,8115,17485,19922,7806,9208,8475,9565,9356,7572,7799,17923,24038,32579,17220,10714
